filepath,dataset,emotion,intensity,actor,gender,duration_sec,sample_rate,trimmed_duration_sec,split
data/raw/ravdess/Actor_01/03-01-01-01-01-01-01.wav,ravdess,neutral,normal,ravdess_01,male,3.3032916666666665,48000,1.344,train
data/raw/ravdess/Actor_01/03-01-01-01-01-02-01.wav,ravdess,neutral,normal,ravdess_01,male,3.3366666666666664,48000,1.312,train
data/raw/ravdess/Actor_01/03-01-01-01-02-01-01.wav,ravdess,neutral,normal,ravdess_01,male,3.2699166666666666,48000,1.28,test
data/raw/ravdess/Actor_01/03-01-01-01-02-02-01.wav,ravdess,neutral,normal,ravdess_01,male,3.1698333333333335,48000,1.28,train
data/raw/ravdess/Actor_01/03-01-02-01-01-01-01.wav,ravdess,calm,normal,ravdess_01,male,3.536854166666666,48000,1.568,val
data/raw/ravdess/Actor_01/03-01-02-01-01-02-01.wav,ravdess,calm,normal,ravdess_01,male,3.603583333333334,48000,1.696,train
data/raw/ravdess/Actor_01/03-01-02-01-02-01-01.wav,ravdess,calm,normal,ravdess_01,male,3.5035,48000,1.632,train
data/raw/ravdess/Actor_01/03-01-02-01-02-02-01.wav,ravdess,calm,normal,ravdess_01,male,3.4701458333333335,48000,1.568,train
data/raw/ravdess/Actor_01/03-01-02-02-01-01-01.wav,ravdess,calm,strong,ravdess_01,male,3.703708333333333,48000,1.824,test
data/raw/ravdess/Actor_01/03-01-02-02-01-02-01.wav,ravdess,calm,strong,ravdess_01,male,4.004,48000,2.08,train
data/raw/ravdess/Actor_01/03-01-02-02-02-01-01.wav,ravdess,calm,strong,ravdess_01,male,4.204208333333334,48000,2.336,val
data/raw/ravdess/Actor_01/03-01-02-02-02-02-01.wav,ravdess,calm,strong,ravdess_01,male,4.004,48000,1.984,train
data/raw/ravdess/Actor_01/03-01-03-01-01-01-01.wav,ravdess,happy,normal,ravdess_01,male,3.4701458333333335,48000,1.504,val
data/raw/ravdess/Actor_01/03-01-03-01-01-02-01.wav,ravdess,happy,normal,ravdess_01,male,3.470125,48000,1.728,test
data/raw/ravdess/Actor_01/03-01-03-01-02-01-01.wav,ravdess,happy,normal,ravdess_01,male,3.536854166666666,48000,1.504,val
data/raw/ravdess/Actor_01/03-01-03-01-02-02-01.wav,ravdess,happy,normal,ravdess_01,male,3.703708333333333,48000,1.76,train
data/raw/ravdess/Actor_01/03-01-03-02-01-01-01.wav,ravdess,happy,strong,ravdess_01,male,3.670333333333333,48000,1.6,train
data/raw/ravdess/Actor_01/03-01-03-02-01-02-01.wav,ravdess,happy,strong,ravdess_01,male,3.6369583333333337,48000,1.568,train
data/raw/ravdess/Actor_01/03-01-03-02-02-01-01.wav,ravdess,happy,strong,ravdess_01,male,3.93725,48000,1.952,train
data/raw/ravdess/Actor_01/03-01-03-02-02-02-01.wav,ravdess,happy,strong,ravdess_01,male,3.9372708333333337,48000,1.984,test
data/raw/ravdess/Actor_01/03-01-04-01-01-01-01.wav,ravdess,sad,normal,ravdess_01,male,3.8371666666666666,48000,1.824,test
data/raw/ravdess/Actor_01/03-01-04-01-01-02-01.wav,ravdess,sad,normal,ravdess_01,male,3.5702291666666666,48000,1.6,train
data/raw/ravdess/Actor_01/03-01-04-01-02-01-01.wav,ravdess,sad,normal,ravdess_01,male,3.5035,48000,1.472,train
data/raw/ravdess/Actor_01/03-01-04-01-02-02-01.wav,ravdess,sad,normal,ravdess_01,male,3.370041666666667,48000,1.44,train
data/raw/ravdess/Actor_01/03-01-04-02-01-01-01.wav,ravdess,sad,strong,ravdess_01,male,3.8037916666666662,48000,1.824,train
data/raw/ravdess/Actor_01/03-01-04-02-01-02-01.wav,ravdess,sad,strong,ravdess_01,male,3.703708333333333,48000,1.6,train
data/raw/ravdess/Actor_01/03-01-04-02-02-01-01.wav,ravdess,sad,strong,ravdess_01,male,3.7370833333333335,48000,1.728,train
data/raw/ravdess/Actor_01/03-01-04-02-02-02-01.wav,ravdess,sad,strong,ravdess_01,male,3.7370625,48000,1.76,test
data/raw/ravdess/Actor_01/03-01-05-01-01-01-01.wav,ravdess,angry,normal,ravdess_01,male,3.8705416666666665,48000,1.856,train
data/raw/ravdess/Actor_01/03-01-05-01-01-02-01.wav,ravdess,angry,normal,ravdess_01,male,3.9372708333333337,48000,2.016,test
data/raw/ravdess/Actor_01/03-01-05-01-02-01-01.wav,ravdess,angry,normal,ravdess_01,male,3.5035,48000,1.536,train
data/raw/ravdess/Actor_01/03-01-05-01-02-02-01.wav,ravdess,angry,normal,ravdess_01,male,3.7370625,48000,1.76,train
data/raw/ravdess/Actor_01/03-01-05-02-01-01-01.wav,ravdess,angry,strong,ravdess_01,male,4.104104166666667,48000,2.048,test
data/raw/ravdess/Actor_01/03-01-05-02-01-02-01.wav,ravdess,angry,strong,ravdess_01,male,4.371041666666667,48000,2.304,train
data/raw/ravdess/Actor_01/03-01-05-02-02-01-01.wav,ravdess,angry,strong,ravdess_01,male,4.137458333333333,48000,2.048,train
data/raw/ravdess/Actor_01/03-01-05-02-02-02-01.wav,ravdess,angry,strong,ravdess_01,male,4.437770833333333,48000,2.368,train
data/raw/ravdess/Actor_01/03-01-06-01-01-01-01.wav,ravdess,fearful,normal,ravdess_01,male,3.670333333333333,48000,1.632,train
data/raw/ravdess/Actor_01/03-01-06-01-01-02-01.wav,ravdess,fearful,normal,ravdess_01,male,3.636979166666667,48000,1.696,train
data/raw/ravdess/Actor_01/03-01-06-01-02-01-01.wav,ravdess,fearful,normal,ravdess_01,male,3.4367708333333336,48000,1.504,test
